env_key,trt_key,trt_desc,trt_id,crop_id,herb_id,cctrt_id,plantingrate_kgha,planting_desc,rowspacing_cm,plantingdepth_cm,pdate_ymd,bio1date_ymd,hdate_ymd
0001,0001_17West,"PC rye planted in XX cm rows at 1/3 plant density (100 pl m-2), unknown biomass harvest and row width",17West,p,herbicide,NA,31,XX,9999,3,2024-12-31,2025-05-31,2025-08-19
0001,0001_17East,"PC rye planted in XX cm rows at full plant density (300 pl m-2), unknown biomass harvest and row width",17East,p,herbicide,NA,94,XX,9999,3,2024-12-31,2025-05-31,2025-08-19
0001,0001_18West,"PC rye planted in XX cm rows at 1/3 plant density (100 pl m-2), unknown biomass harvest and row width",18West,p,herbicide,NA,31,XX,9999,3,2024-12-31,2025-05-31,2025-08-19
0001,0001_18East,"PC rye planted in XX cm rows at full plant density (300 pl m-2), unknown biomass harvest and row width",18East,p,herbicide,NA,94,XX,9999,3,2024-12-31,2025-05-31,2025-08-19
0001,0001_17West,"PC rye planted in XX cm rows at 1/3 plant density (100 pl m-2), unknown biomass harvest and row width",17West,p,herbicide,NA,31,XX,9999,3,2024-12-31,2025-05-31,2025-08-19
0001,0001_17East,"PC rye planted in XX cm rows at full plant density (300 pl m-2), unknown biomass harvest and row width",17East,p,herbicide,NA,94,XX,9999,3,2024-12-31,2025-05-31,2025-08-19
0001,0001_18West,"PC rye planted in XX cm rows at 1/3 plant density (100 pl m-2), unknown biomass harvest and row width",18West,p,herbicide,NA,31,XX,9999,3,2024-12-31,2025-05-31,2025-08-19
0001,0001_18East,"PC rye planted in XX cm rows at full plant density (300 pl m-2), unknown biomass harvest and row width",18East,p,herbicide,NA,94,XX,9999,3,2024-12-31,2025-05-31,2025-08-19
0302,0302_pmechwide24,PC rye planted in 25 cm rows with mechanical weed control (for a seed increase) in 2024,pmechwide24,p,herbicide,NA,80.5,Aimed for 300 pl m-2,25,3,2025-09-25,NA,NA
0302,0302_pmechwide25,PC rye planted in 25 cm rows with mechanical weed control (for a seed increase) in 2025,pmechwide25,p,herbicide,NA,80.5,Aimed for 300 pl m-2,25,3,2025-09-25,NA,NA
